Id,Title,Description,Event Type,Event Date,Reported By,Received Date,Latitude,Longitude,City,State,Airport,Region,Reporting Facility,Aircraft Type,Departure,Arrival,Diverted To,POB,Injury Type,Injuries Minor,Injuries Serious,Fatalities,Injuries Unknown,Uninjured,POB Unknown,Damage Type,MessageText,MessageText,,,,,,,
554891,"MEDICAL EMERGENCY - PASSENGER | ASA1305 | SAN FRANCISCO, CA (SFO) 01-01-2019 0201Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 2:01,,,37.61880493,-122.3754196,SAN FRANCISCO,CA,SFO,AWP,MOR/SFO @ ,A320,,SFO,,,Unknown,,,,,,0,Not Reported,"SAN FRANCISCO, CA (SFO)",", A320, SFODECLARED A MEDICAL EMERGENCY FOR A 29 YEAR OLD MALE PASSENGER WITH CHEST PAINS. 01/01/2019 0201Z",,,,,,,
554892,"GENERAL AVIATION OCCURRENCE | N9118C | SANTA ROSA, CA (STS) 01-01-2019 0238Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 2:38,,,38.50969315,-122.8128891,SANTA ROSA,CA,STS,AWP,MOR/STS @ 1843 PST,C182,,STS,,,Unknown,,,,,,0,Not Reported,"SANTA ROSA, CA (STS)","C182, STSLANDED WITHOUT INCIDENT AFTER REPORTING FAULTY LANDING GEAR. 01/01/2019 0238Z",,,,,,,
554894,"GENERAL AVIATION OCCURRENCE | N613PJ | TETERBORO, NJ (TEB) 01-01-2019 0315Z",,GENERAL AVIATION OCCURRENCE,1/1/2019 3:15,,,40.85011292,-74.06083679,TETERBORO,NJ,TEB,AEA,TEB,CL60,,,,,Unknown,,,,,,0,Not Reported,"TETERBORO, NJ (TEB)","CL60, DIVERTED TO TEB AND LANDED WITHOUT INCIDENT AFTER REPORTING A PITCH AND TRIM ISSUE. 01/01/2019 0315Z",,,,,,,
554895,"LASER EVENT | N4203P | PASCO, WA (PSC) 01-01-2019 0326Z",,LASER EVENT,1/1/2019 3:26,,,46.26469421,-119.1190262,PASCO,WA,PSC,ANM,MOR/PSC @ 1943 PST,C172,,,,,Unknown,,,,,,0,Not Reported,"PASCO, WA (PSC)","C172, WAS ILLUMINATED BY A GREEN LASER FROM THE 12 O'CLOCK POSITION WHILE N BOUND AT 8,000 FEET 14 SSW YAKIMA. NO INJURIES REPORTED. YAKIMA COUNTY SHERIFF NOTIFIED. 01/01/2019 0326Z",,,,,,,
554908,"AIR CARRIER OR TAXI OCCURRENCE | NKS8618 | DETROIT, MI (DTW) 01-01-2019 1125Z",,AIR CARRIER OR TAXI OCCURRENCE,1/1/2019 11:25,,,42.21244431,-83.35338593,DETROIT,MI,DTW,AGL,DTW MOR,A320,DTW,DFW,,,Unknown,,,,,,0,Not Reported,"DETROIT, MI (DTW)",", A320, DTW-DFW, ABORTED TAKEOFF DUE TO A MALFUNCTION IN NUMBER 1 ENGINE. ACFT TAXIED BACK TO HANGAR. 01/01/2019 1125Z",,,,,,,
554909,"MEDICAL EMERGENCY - PASSENGER | ASH6370 | WASHINGTON, DC (IAD) 01-01-2019 1154Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 11:54,,,38.94744492,-77.45994568,WASHINGTON,DC,IAD,AEA,PCT,E175,RIC,IAD,,,Unknown,,,,,,0,Not Reported,"WASHINGTON, DC (IAD)",", E175, RIC-IAD, LANDED AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/01/2019 1154Z",,,,,,,
554910,"BIRD/WILDLIFE STRIKE | ENY3342 | WILKES-BARRE/SCRANTON, PA (AVP) 01-01-2019 1236Z",,BIRD/WILDLIFE STRIKE,1/1/2019 12:36,,,41.33847046,-75.72338867,WILKES-BARRE/SCRANTON,PA,AVP,AEA,AVP,E145,AVP,ORD,,,Unknown,,,,,,0,Not Reported,"WILKES-BARRE/SCRANTON, PA (AVP)",", E145, AVP-ORD, ABORTED TAKEOFF AND RETURNED TO THE GATE AFTER REPORTING A POSSIBLE BIRD STRIKE. DAMAGE",,,,,,,
554925,"UAS/DRONE INCIDENT | N450HA | WEST PALM BEACH, FL 01-01-2019 1555Z",,UAS/DRONE INCIDENT,1/1/2019 15:55,,,26.7153424,-80.0533746,WEST PALM BEACH,FL,,ASO,WOCC,LJ45,,,,,Unknown,,,,,,0,Not Reported,"WEST PALM BEACH, FL","LJ45, REPORTED SEEING A YELLOW UAS WHILE 38 MILES NORTH-NORTHWEST OF PBI AT 3,000 FEET. THERE WAS NO EVASIVE ACTION TAKEN AND THE MARTIN COUNTY SHERIFF WAS NOTIFIED. 01/01/2019 1555Z",,,,,,,
554926,"MEDICAL EMERGENCY - PASSENGER | JBU2451 | BALTIMORE, MD (BWI) 01-01-2019 1621Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 16:21,,,39.17572784,-76.66899109,BALTIMORE,MD,BWI,AEA,BWI,A321,BOS,MCO,BWI,,Unknown,,,,,,0,Not Reported,"BALTIMORE, MD (BWI)",", A321, BOS-MCO, DIVERTED AND LANDED AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/01/2019 1621Z",,,,,,,
554927,"MEDICAL EMERGENCY - PASSENGER | DAL2474 | SAN JUAN, PUERTO RICO (SJU) 01-01-2019 1632Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 16:32,,,18.43939781,-66.00213623,SAN JUAN,PUERTO RICO,SJU,ASO,ZSU,B739,,,,,Unknown,,,,,,0,Not Reported,"SAN JUAN, PUERTO RICO (SJU)",", B739, LANDED AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/01/2019 1632Z",,,,,,,
554928,"MEDICAL EMERGENCY - PASSENGER | FFT2035 | ORLANDO, FL (MCO) 01-01-2019 1648Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 16:48,,,28.42938805,-81.30899811,ORLANDO,FL,MCO,ASO,MCO,A320,LGA,MCO,,,Unknown,,,,,,0,Not Reported,"ORLANDO, FL (MCO)",", A320, LGA-MCO, LANDED AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/01/2019 1648Z",,,,,,,
554942,"MEDICAL EMERGENCY - PASSENGER | SWA2211 | NASHVILLE, TN (BNA) 01-01-2019 1646Z",,MEDICAL EMERGENCY - PASSENGER,1/1/2019 16:46,,,36.12447357,-86.67816925,NASHVILLE,TN,BNA,ASO,BNA,B737,LGA,BNA,,,Unknown,,,,,,0,Not Reported,"NASHVILLE, TN (BNA)",", B737, LGA-BNA, LANDED WITHOUT INCIDENT AFTER REPORTING A PASSENGER MEDICAL EMERGENCY. 01/01/2019 1646Z",,,,,,,
554943,"UAS/DRONE INCIDENT | UAL259 | NEWARK, NJ 01-01-2019 1845Z",,UAS/DRONE INCIDENT,1/1/2019 18:45,,,40.69247818,-74.16868591,NEWARK,NJ,,AEA,EWR,B738,TPA,EWR,,,Unknown,,,,,,0,Not Reported,"NEWARK, NJ","B738, TPA-EWR, REPORTED A WHITE UAS WHILE NE BOUND AT 1,500 FEET 5 WEST EWR. NO EVASIVE ACTION TAKEN. NJ STATE POLICE NOTIFIED. 01/01/2019 1845Z",,,,,,,
