c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,
20191013023229A,A,91,   , ,2019,10,13,20191013,1420,9, , , , , , ,   ,    , , , ,,    , , ,CV,  ,  ,224306,2322, , , , ,96709,TAYLOR,BC12-D      ,      ,        ,  ,STRD,,,  ,CONT M,A&C65 SERIES ,      ,        ,  ,     ,CE,CE07,KS,GODDARD        ,ECK FIELD                     ,,SN64,,,,,,,,,,,,,,OTH,,SN64,,,,,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200922,,,20200326,20200922,1,N,,,,,,55,,14,812,,,,"THE PILOT OBTAINED LOCAL AUTOMATED WEATHER REPORT FROM ICT (WICHITA DWIGHT D. EISENHOWER AIRPORT, WICHITA, KS) PRIO",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19500728,, ,
20191122023189A,A,91,   , ,2019,11,22,20191122,1430,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,224301,2318, , , , ,969JM,CIRRUS,SR22T       ,      ,        ,  ,STRD,988,* ,  ,CONT M,TSIO-550-K   ,      ,        ,  ,     ,SW,SW19,TX,LINDALE        ,,,,,,32 29N,95 28W,,,,,,,,,,,,,,,,,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,20200921,,,20200330,20200921,F3,N,,,,,,3200,,330,25400,,,,DEPARTED TRL FOR FLIGHT TO GLADEWATER. CLIMBED TO 3000' AGL. APPROX. 2 MINS IN ENGINE BEGAN TO SHAKE. ENGINE MFD SH,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,CR,S, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19670729,, ,
20191125023199I,I,91,   , ,2019,11,25,20191125,1130,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,224302,2319, , , , ,3201L,MOONEY,M20J        ,      ,        ,  ,STRD,2582,* ,  ,LYCOMI,I0360 SER    ,      ,        ,  ,     ,GL,GL11,IN,BRAZIL         ,BRAZIL CLAY COUNTY AIRPORT    ,,12,,,,,,,,,,,,,,,,12,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200921,,,20200728,20200921,,N,,,,,,,,19,27,,,,"ON NOVEMBER 25, 2019, AT APPROXIMATELY 1130 EASTERN STANDARD TIME, A MOONEY M20J, N3201L, SUSTAINED SUBSTANTIAL  DA",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,OT,S, ,   , , , , , , ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,"Other, Specify      ",                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19611221,, ,
20191217023209A,A,91,   , ,2019,12,17,20191217,1445,9, , , , , , ,   ,1L71,1,L,7,1,3O  , , ,TR,  ,  ,224303,2320, , , , ,3113V,BEECH ,35R         ,      ,        ,  ,STRD,,* ,  ,CONT M,E185 SERIES  ,      ,        ,  ,     ,NM,NM09,OR,OREGON CITY    ,FAIRWAYS                      ,,OG20,,,,,,,,,,,,,,,,OG20,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,20200921,,,,20200921,3,N,,,,,,,,,,,,,THE PILOT/OWNER WAS INTENDING TO MAKE A SHORT FLIGHT FROM OG20 TO 4S9 DUE TO THE SALE OF THE AIRCRAFT BUT AFTER STA,N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TX,M, ,   , , , , , , ,COMMERCIAL PILOT    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Taxi                ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19331117,, ,
20191218023219I,I,91,   , ,2019,12,18,20191218,1916,9, , , , , , ,   ,    , , , ,,    , , ,TR,  ,  ,224304,2321, , , , ,6919J,PIPER ,PA-28-151   ,      ,        ,  ,STRD,7079,* ,  ,LYCOMI,0-320 SERIES ,      ,        ,  ,     ,SO,SO11,GA,ROME           ,ROME GEORGIA                  ,,RMG ,,,,,,,,,,,,,,,,RMG ,,,,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20200921,,,20200806,20200921,F1,N,,,,,,,,,,,,,"A PORTION OF THE PROPELLER SEPARATED FROM AIRCRAFT WHILE AT 5,500 FEET. THE RESULTING VIBRATION CAUSED DAMAGE TO TH",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,61, , , ,  , , , ,  ,CR,M, ,   , , , , , , ,PRIVATE PILOT FLT IN,                    ,                    ,                    ,                    ,6111,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Cruise/Level Flight ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                              ,                              ,                              ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,20000219,20010613, ,
20191101023269A,A,91,   , ,2019,11,1,20191101,1510,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,224310,2326, , , , ,102PH,HATFIE,CH701       ,      ,        ,  ,EXPT,3,* ,  ,ROTAX ,912ULS SERIES,      ,        ,  ,     ,NM,NM09,OR,SALEM          ,MCNARY FIELD AIRPORT          ,,KSLE,,,,,,,,,,,,,,,,KSLE,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200922,,,,20200922,1,N,,,,,,,,,280,,,,"ON FRIDAY, NOVEMBER 1, 2019, A ZENITH CH701, REGISTERED AS N102PH, SERIAL NUMBER 7-8890, WAS INVOLVED IN AN ACCIDEN",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19500310,, ,
20191101023289A,A,91,   , ,2019,11,1,20191101,1450,9, , , , , , ,   ,1H71,1,H,7,1,3O  , , ,TR,  ,  ,224312,2328, , , , ,732JW,CESSNA,T210L       ,      ,        ,  ,STRD,3928,* ,  ,CONT M,TSIO-520 SER ,H4B   ,        ,  ,     ,SW,SW13,TX,ODESSA         ,,,KODO,,,32 03N,10221W,,,,,,,,,,,,KODO,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,20200922,,,,20200922,1,N,,,,,,2000,,98,2000,,,,"ON NOVEMBER 1, 2019, AT 1350 CDT, A CESSNA 210 BEARING REGISTRATION NUMBER N732JW, REGISTERED TO A PRIVATE OWNER, E",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,TC,S, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Takeoff: Climb Out  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19670227,, ,
20191031023279A,A,91,   , ,2019,10,31,20191031,1100,9, , , , , , ,   ,1L72,1,L,7,2,3O  , , ,TR,  ,  ,224311,2327, , , , ,959CM,RAYTHE,58,      ,        ,  ,STRD,,* ,  ,CONT M,IO-550 SERIES,550,        ,  ,     ,SO,SO15,FL,OCALA          ,OCALA INTERNATIONAL AIRPORT   ,18,OCF ,,,29 8 N,82 11W,,,,,,,,,,DRY,,OCF ,,,,,2,1,1,0,1,1,0,0,0,0,1,0,1,0,2,1,20200922,,,20200922,20201020,1,N,,,,,,,,,,,,,"ON OCTOBER 31 2019 APPROXIMATELY 11:15 EST LOCAL, TIME N959CM A BEECHCRAFT 58 BARON WITH PILOT/ AIRCRAFT OWNER AND ",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LA,D, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Approach   ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,19460130,, ,
20191014023239I,I,91,   , ,2019,10,14,20191014,1405,9, , , , , , ,   ,1H72,1,H,7,2,3I  , , ,AF,  ,  ,224307,2323, , , , ,50MJ ,N50MJ ,AIRCAM      ,      ,        ,  ,EXPT,,* ,  ,ROTAX ,912ULS SERIES,      ,        ,  ,     ,SO,SO35,FL,PUNTA GORDA    ,PUNTA GORDA                   ,,PGD ,,,,,,,,,,,,,,,,PGD ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200922,,,,20200922,1,N,,,,,,55,,3,2705,,,,"ON OCTOBER 14/2019, AT 1405 EDT (1805Z), AN AIRCAM (EXPERIMENTAL-AMATEUR BUILT-AMPHIBIOUS), N50MJ, REGISTERED TO N5",N/A                           ,  ,    ,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,LT,M, ,   , , , , , , ,PRIVATE PILOT       ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Landing: Touchdown  ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Amphibious Floats             ,                    ,                    ,                    ,                    ,19471015,, ,
20191017023249A,A,137,   , ,2019,10,17,20191017,1404,9, , , , , , ,   ,1L71,1,L,7,1,3R  , , ,CV,  ,  ,224308,2324, , , , ,9033T,WEATHE,620B        ,      ,        ,  ,REST,,* ,  ,P&W   ,R-985 SERIES ,      ,        ,  ,     ,SW,SW01,TX,FABENS         ,FABENS AIRPORT                ,,E35 ,,,,,,,,,,,,,,,,E35 ,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20200922,,,20200922,20201020,F3,N,,,,,,40,,70,30000,,,,"ON OCTOBER 17, 2019, AT 1404 MDT, A 1996 WEATHERLY AVIATION CO INC 620B, N9033T, ^PRIVACY DATA OMITTED^, CLIPPED A ",VALLEY AG AERIAL SERVICES     ,  ,V4ZG,           ,  ,    ,      ,                    ,  , , , ,  , , , ,  ,MN,D, ,   , , , , , , ,COMM PILOT FLIGHT IN,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,Maneuver            ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,19391128,, ,
