c5,remark,,,,,,,,
20190101007219I,DURING APPROACH TO STUART WITHAM AIRPORT THE AIRCRAFT SUDDENLY PITCHED UP AND TO THE LEFT WITHOUT CONTROL INPUT. PILOT WAS ABLE TO CONTROL AIRCRAFT WITH FORWARD STICK AND VARIABLE POWER TO MAKE A FORCED LANDING IN A FIELD APPROXIMATELY 2 MILES WEST OF THE AIRPORT. PILOT INSPECTED THE AIRCRAFT AFTER LANDING AND FOUND THAT ONE OF THE UPPER HORIZONTAL STABILIZER SUPPORT CABLES WAS SEVERED. AIRCRAFT DID NOT SUSTAIN DAMAGE AS A RESULT OF THE FORCED LANDING.,,,,,,,,
20190101007229I,^PRIVACY DATA OMITTED^,,,,,,,,
^PRIVACY DATA OMITTED^,,,,,,,,,
,,,,,,,,,
THE ONLY INFORMATION PROVIDED BY AIRMAN WAS THAT RUNWAY 18 WAS SOFT AND THAT ON HIS TAKEOFF CLIMB THE AIRCRAFT STRUCK THE TOP OF SOME TREES.,,,,,,,,,
20190101008169I,"ON DEPARTURE ROLL FROM PORT EADS GRASS STRIP, A WILD HOG RAN INTO THE PATH OF THE AIRCRAFT. THE AIRCRAFT SKID OFF THE LEFT SIDE OF THE RUNWAY WHEN T.O. WAS ABORTED. T.O. WAS ABORTED JUST BEFORE ROTATION AROUND 60MPH.",,,,,,,,
20190101016219I,"VENICE, FL. N241EE, BE35 LANDED ON RUNWAY 23 AND WHILE TAXING TO TAXIWAY BRAVO THE NOSE GEAR COLLAPSED. POB: 1, NO INJURIES. AIRCRAFT DAMAGE SUBSTANCIAL. AIRCRAFT AND LOGBOOKS TURNED OVER TO INSURANCE COMPANY WHO DETERMINED AIRCRAFT WAS TOTAL LOSS. NOSE GEAR RETRACT ROD WAS FOUND BENT.",,,,,,,,
20190102000019A,1/2/19 AT 1045 EST. N772MG AN R44 HELICOPTER CRASHED 1 MILE OFF SHORE OF BEAN POINT ON ANNA MARIA ISLAND IN THE GULF OF MEXICO. PILOT AND ONE PASSENGER SUSTAINED INJURIES. PILOT IN CRITICAL CONDITION AND PASSENGER REAR RH SEAT REPORTED BACK INJURIES. THIRD PASSENGER FRONT RH SEAT HAD NO INJURIES. AIRCRAFT SUSTAINED SUBSTANIAL DAMAGE.,,,,,,,,
20190102000069A,"SEAREY AMATEUR-BUILT EXPERIMENTAL AIRCRAFT/BOAT DEPARTED FROM NAPA (KAPC), ONE PILOT, ONE PASSENGER, VMC FLIGHT. ",,,,,,,,
"WHILE SIGHTSEEING AROUND THE SACRAMENTO AREA, DECIDED TO LAND ON THE AMERICAN RIVER. ",,,,,,,,,
PILOT LANDED IN THE AMERICAN RIVER WITH LANDING GEAR STILL EXTENDED WHICH STOPPED THE AIRCRAFT SUDDENLY AND THE SEAREY SUBMERGED WITH BOTH OCCUPANTS.,,,,,,,,,
"PILOT WAS ABLE TO ESCAPE, PASSENGER WAS STILL INSIDE.",,,,,,,,,
PASSENGER WAS EVENTUALLY REMOVED ALIVE BUT UNCONSCIOUS FROM AIRCRAFT AND DIED FROM COMPLICATIONS TWO WEEKS LATER IN HOSPITAL.,,,,,,,,,
"AIRCRAFT WAS OPERATIONAL PER HIS LOGBOOK ENTRIES, PILOT'S QUALIFICATIONS WERE CURRENT WHEN QUESTIONED BY AN OPERATIONS (PILOT) INSPECTOR. THIS REPORT MAY BE ADDED TO OR AMENDED IN THE FUTURE.",,,,,,,,,
20190102000079A,"THE DAY PRIOR TO THE ACCIDENT THE STUDENT PILOT (SP) WAS WARNED BY RELATIVES THAT HE WAS GOING TO VISIT ON HIS FIRST SOLO CROSS COUNTRY FLIGHT THAT THERE WAS GROUND ICE ON THE ROADS IN APPLETON, MN.  ON THE DAY OF THE ACCIDENT THE SP SPOKE WITH DESTINATION AIRPORT PERSONNEL (KAQP) AND WAS INFORMED THAT THERE WAS SOME ICE ON THE RUNWAY.  THE SP AND THE CFI MET AT THEIR HOMEFIELD KOEO FOR A PREFLIGHT BRIEFING.  WEATHER WAS VFR, WITH WINDS 230/10 AT DESTINATION KAQP.  THE SP AND CFI DISCUSSED THE ICY RUNWAY THE DAY PRIOR TO THE ACCIDENT, BUT NOT THE MORNING OF.  THE SP HAD AN UNEVENTFUL DEPARTURE FROM HIS 5000 FOOT HOMEFIELD KOEO AND PROCEEDED TO KAQP HIS 3500 FOOT DESTINATION.  POST ACCIDENT INTERVIEW NEITHER CFI OR SP KNEW OFF THE TOP OF THEIR HEADS THE LENGTH OF RUNWAY 13 AT KAPQ.  THE SP OVER FLEW KAPQ AND VERIFIED WINDS OUT OF THE WEST AND RUNWAY 13 WOULD BE THE BEST CHOICE WITH A RIGHT CROSSWIND.  CROSSWIND WAS 100 DEGREES OFF CENTERLINE, SO A DIRECT RIGHT CROSSWIND AT ABOUT 10 KTS.  SP EXECUTED A NORMAL APPROACH TO RUNWAY 13 LANDING PAST THE NUMBERS ON CENTERLINE.  DURING ROLLOUT, HE STARTED EXPERIENCING SOME LEFT DRIFT, FROM WHICH HE WAS ABLE TO RECENTERLINE, BUT THEN AT APPROXIMATELY 2300 FEET DOWN THE RUNWAY, THE LEFT DRIFT INCREASED.  THE AIRPLANE HIT A RUNWAY EDGE LIGHT AND AT THAT MOMENT THE SP ADDED POWER WITH THE INTENT TO TAKEOFF.  SP STATED THAT WHEN HE PULLED BACK ON THE CONTROL COLUMN THE AIRPLANE CONTINUED LEFT, SLIGHTLY LIFTED, THEN SETTLED UNTIL GEAR CAUGHT THE SNOW AND THE CE-172/N12181 FLIPPED OVER AND CAME TO REST ON ITS BACK.  THE SP UNSTRAPPED AND GOT OUT OF THE AIRPLANE UNHARMED.  HE CALLED 911 AND THEN REACHED BACK INSIDE AND VERIFIED EVERYTHING WAS SHUTOFF.  THE SP DID NOT CONFIRM AILERON XWIND CORRECTIONS WERE MAINTAINED DURING ROLLOUT.",,,,,,,,
20190102007249I,N9723M WAS ON FINAL APPROACH FOR RUNWAY 02 AT KUZA ROCK HILL AIRPORT AND EXPERIENCED LANDING GEAR ISSUES.  THE LANDING GEAR DEPLOYED ABOUT 75% THEN STOPPED.  THE PILOT NOTIFIED THE AIRPORT FIRST RESPONDERS AND MADE TWO LOW APPROACHES TO VERIFY PARTIAL GEAR DEPLOYMENT.  THE PILOT ATTEMPTED TO GO LOAD THE GEAR TO HELP IT MOVE WITH NO RESULTS.  AFTER 30 MINUTES OF TROUBLESHOOTING AND TWO LOW APPROACHES THE PILOT COORDINATED A PLAN WITH FIRST RESPONDERS FOR A POSSIBLE GEAR UP LANDING.  UPON TOUCHDOWN THE GEAR COLLAPSED AND SLID TO A STOP ON ITS BELLY. THE PILOT WAS UN INJURED AND THE AIRCRAFT SUBSTAINED MINOR DAMAGE.,,,,,,,,
20190102016809A,"ON JANUARY 2, 2019, ABOUT 1650 MOUNTAIN STANDARD TIME, A CESSNA 180, AIRPLANE, N4934A, IMPACTED POWERLINES AND TERRAIN WHILE MANEUVERING AT LOW ALTITUDE NEAR THE MISSOURI RIVER ABOUT 2 MILES SOUTH OF TOWNSEND, MONTANA. THE PILOT AND PASSENGER WERE SERIOUSLY INJURED, AND THE AIRPLANE WAS SUBSTANTIALLY DAMAGED.",,,,,,,,
20190103000089A,"WHILE MANUVERING THE AIRCRAFT DOWN A COYOTE TRAIL APPROXIMATELY 30 FEET OFF THE GROUND ON PILOTS PROPERTY, THE PILOT STRUCK A QUARTER INCH POWER LINE WITH THE ROTORS AND LANDED UNEVENFULLY.",,,,,,,,
